Single-Level_Breite_Wigner
Temp do meio:       +1.500000000000000e+03[K]
Massa do isotopo:   +2.360050000000000e+02

ene_val                 sig_val[radiation_xs]           psi                     x                   smr*gg                  chi1          
+9.126000000000042e+00 +8.764420768465155e-01 +6.148599399362812e-04 -4.099572636288956e+01 +1.234720146490869e+03 +2.929256487152477e-01 
+9.128000000000043e+00 +8.800058938716967e-01 +6.178071229926876e-04 -4.089913068789742e+01 +1.234583572201065e+03 +2.928937102202684e-01 
+9.130000000000043e+00 +8.835950587159149e-01 +6.207754449069315e-04 -4.080253511693672e+01 +1.234447042792316e+03 +2.928617822204406e-01 
+9.132000000000044e+00 +8.872098170451129e-01 +6.237651114153600e-04 -4.070593964998980e+01 +1.234310558240049e+03 +2.928298647100177e-01 
+9.134000000000045e+00 +8.908504176979982e-01 +6.267763309116475e-04 -4.060934428703906e+01 +1.234174118519706e+03 +2.927979576832572e-01 
+9.136000000000045e+00 +8.945171127409826e-01 +6.298093144927113e-04 -4.051274902806685e+01 +1.234037723606750e+03 +2.927660611344213e-01 
+9.138000000000046e+00 +8.982101575243551e-01 +6.328642760056553e-04 -4.041615387305555e+01 +1.233901373476662e+03 +2.927341750577767e-01 
+9.140000000000047e+00 +9.019298107397029e-01 +6.359414320957624e-04 -4.031955882198756e+01 +1.233765068104944e+03 +2.927022994475942e-01 
+9.142000000000047e+00 +9.056763344787094e-01 +6.390410022556269e-04 -4.022296387484526e+01 +1.233628807467112e+03 +2.926704342981492e-01 
+9.144000000000048e+00 +9.094499942932858e-01 +6.421632088754007e-04 -4.012636903161106e+01 +1.233492591538705e+03 +2.926385796037211e-01 
+9.146000000000049e+00 +9.132510592571146e-01 +6.453082772942191e-04 -4.002977429226738e+01 +1.233356420295281e+03 +2.926067353585943e-01 
+9.148000000000049e+00 +9.170798020286360e-01 +6.484764358528253e-04 -3.993317965679662e+01 +1.233220293712412e+03 +2.925749015570571e-01 
+9.150000000000050e+00 +9.209364989155473e-01 +6.516679159474553e-04 -3.983658512518122e+01 +1.233084211765694e+03 +2.925430781934023e-01 
+9.152000000000051e+00 +9.248214299407597e-01 +6.548829520849434e-04 -3.973999069740362e+01 +1.232948174430739e+03 +2.925112652619270e-01 
+9.154000000000051e+00 +9.287348789100336e-01 +6.581217819392190e-04 -3.964339637344626e+01 +1.232812181683178e+03 +2.924794627569329e-01 
+9.156000000000052e+00 +9.326771334811182e-01 +6.613846464090630e-04 -3.954680215329157e+01 +1.232676233498660e+03 +2.924476706727257e-01 
+9.158000000000053e+00 +9.366484852346690e-01 +6.646717896773417e-04 -3.945020803692203e+01 +1.232540329852854e+03 +2.924158890036159e-01 
+9.160000000000053e+00 +9.406492297468169e-01 +6.679834592716156e-04 -3.935361402432010e+01 +1.232404470721447e+03 +2.923841177439178e-01 
+9.162000000000054e+00 +9.446796666635086e-01 +6.713199061262341e-04 -3.925702011546825e+01 +1.232268656080145e+03 +2.923523568879506e-01 
+9.164000000000055e+00 +9.487400997767088e-01 +6.746813846459638e-04 -3.916042631034897e+01 +1.232132885904670e+03 +2.923206064300374e-01 
+9.166000000000055e+00 +9.528308371024449e-01 +6.780681527711732e-04 -3.906383260894474e+01 +1.231997160170767e+03 +2.922888663645059e-01 
+9.168000000000056e+00 +9.569521909607900e-01 +6.814804720446117e-04 -3.896723901123805e+01 +1.231861478854196e+03 +2.922571366856880e-01 
+9.170000000000057e+00 +9.611044780578563e-01 +6.849186076798773e-04 -3.887064551721142e+01 +1.231725841930736e+03 +2.922254173879200e-01 
+9.172000000000057e+00 +9.652880195698335e-01 +6.883828286315842e-04 -3.877405212684735e+01 +1.231590249376187e+03 +2.921937084655424e-01 
+9.174000000000058e+00 +9.695031412291165e-01 +6.918734076672687e-04 -3.867745884012837e+01 +1.231454701166363e+03 +2.921620099129003e-01 
+9.176000000000059e+00 +9.737501734126671e-01 +6.953906214411578e-04 -3.858086565703700e+01 +1.231319197277101e+03 +2.921303217243428e-01 
+9.178000000000059e+00 +9.780294512325730e-01 +6.989347505697689e-04 -3.848427257755579e+01 +1.231183737684254e+03 +2.920986438942234e-01 
+9.180000000000060e+00 +9.823413146289686e-01 +7.025060797094742e-04 -3.838767960166725e+01 +1.231048322363694e+03 +2.920669764169000e-01 
+9.182000000000061e+00 +9.866861084652804e-01 +7.061048976360084e-04 -3.829108672935396e+01 +1.230912951291311e+03 +2.920353192867348e-01 
+9.184000000000061e+00 +9.910641826260428e-01 +7.097314973261024e-04 -3.819449396059846e+01 +1.230777624443013e+03 +2.920036724980941e-01 
+9.186000000000062e+00 +9.954758921171388e-01 +7.133861760411572e-04 -3.809790129538334e+01 +1.230642341794728e+03 +2.919720360453488e-01 
+9.188000000000063e+00 +9.999215971687377e-01 +7.170692354131461e-04 -3.800130873369115e+01 +1.230507103322401e+03 +2.919404099228737e-01 
+9.190000000000063e+00 +1.004401663340914e+00 +7.207809815327630e-04 -3.790471627550447e+01 +1.230371909001996e+03 +2.919087941250483e-01 
+9.192000000000064e+00 +1.008916461632064e+00 +7.245217250398909e-04 -3.780812392080591e+01 +1.230236758809495e+03 +2.918771886462562e-01 
+9.194000000000065e+00 +1.013466368590187e+00 +7.282917812164588e-04 -3.771153166957805e+01 +1.230101652720897e+03 +2.918455934808852e-01 
+9.196000000000065e+00 +1.018051766427140e+00 +7.320914700817869e-04 -3.761493952180349e+01 +1.229966590712222e+03 +2.918140086233274e-01 
+9.198000000000066e+00 +1.022673043135969e+00 +7.359211164904735e-04 -3.751834747746486e+01 +1.229831572759506e+03 +2.917824340679792e-01 
+9.200000000000067e+00 +1.027330592611396e+00 +7.397810502329256e-04 -3.742175553654477e+01 +1.229696598838804e+03 +2.917508698092413e-01 
+9.202000000000067e+00 +1.032024814773609e+00 +7.436716061386292e-04 -3.732516369902585e+01 +1.229561668926190e+03 +2.917193158415187e-01 
+9.204000000000068e+00 +1.036756115695328e+00 +7.475931241821671e-04 -3.722857196489072e+01 +1.229426782997755e+03 +2.916877721592205e-01 
+9.206000000000069e+00 +1.041524907732471e+00 +7.515459495922057e-04 -3.713198033412205e+01 +1.229291941029609e+03 +2.916562387567601e-01 
+9.208000000000069e+00 +1.046331609658350e+00 +7.555304329634492e-04 -3.703538880670245e+01 +1.229157142997878e+03 +2.916247156285553e-01 
+9.210000000000070e+00 +1.051176646801584e+00 +7.595469303716678e-04 -3.693879738261462e+01 +1.229022388878710e+03 +2.915932027690279e-01 
+9.212000000000071e+00 +1.056060451187855e+00 +7.635958034919420e-04 -3.684220606184120e+01 +1.228887678648269e+03 +2.915617001726041e-01 
+9.214000000000071e+00 +1.060983461685675e+00 +7.676774197202383e-04 -3.674561484436487e+01 +1.228753012282735e+03 +2.915302078337145e-01 
+9.216000000000072e+00 +1.065946124156136e+00 +7.717921522983071e-04 -3.664902373016830e+01 +1.228618389758310e+03 +2.914987257467934e-01 
+9.218000000000073e+00 +1.070948891607009e+00 +7.759403804421886e-04 -3.655243271923420e+01 +1.228483811051212e+03 +2.914672539062798e-01 
+9.220000000000073e+00 +1.075992224351143e+00 +7.801224894743247e-04 -3.645584181154524e+01 +1.228349276137678e+03 +2.914357923066169e-01 
+9.222000000000074e+00 +1.081076590169431e+00 +7.843388709594459e-04 -3.635925100708415e+01 +1.228214784993962e+03 +2.914043409422518e-01 
+9.224000000000075e+00 +1.086202464478370e+00 +7.885899228443064e-04 -3.626266030583361e+01 +1.228080337596335e+03 +2.913728998076361e-01 
+9.226000000000075e+00 +1.091370330502548e+00 +7.928760496015046e-04 -3.616606970777637e+01 +1.227945933921090e+03 +2.913414688972256e-01 
+9.228000000000076e+00 +1.096580679452058e+00 +7.971976623774214e-04 -3.606947921289513e+01 +1.227811573944533e+03 +2.913100482054800e-01 
+9.230000000000077e+00 +1.101834010705043e+00 +8.015551791444210e-04 -3.597288882117265e+01 +1.227677257642992e+03 +2.912786377268636e-01 
+9.232000000000077e+00 +1.107130831995726e+00 +8.059490248576178e-04 -3.587629853259163e+01 +1.227542984992811e+03 +2.912472374558449e-01 
+9.234000000000078e+00 +1.112471659607742e+00 +8.103796316160714e-04 -3.577970834713486e+01 +1.227408755970352e+03 +2.912158473868960e-01 
+9.236000000000079e+00 +1.117857018573373e+00 +8.148474388288813e-04 -3.568311826478507e+01 +1.227274570551996e+03 +2.911844675144939e-01 
+9.238000000000079e+00 +1.123287442878555e+00 +8.193528933860996e-04 -3.558652828552504e+01 +1.227140428714140e+03 +2.911530978331194e-01 
+9.240000000000080e+00 +1.128763475674098e+00 +8.238964498348107e-04 -3.548993840933753e+01 +1.227006330433200e+03 +2.911217383372576e-01 
+9.242000000000081e+00 +1.134285669493123e+00 +8.284785705603930e-04 -3.539334863620532e+01 +1.226872275685610e+03 +2.910903890213977e-01 
+9.244000000000081e+00 +1.139854586475134e+00 +8.330997259732999e-04 -3.529675896611120e+01 +1.226738264447823e+03 +2.910590498800333e-01 
+9.246000000000082e+00 +1.145470798596818e+00 +8.377603947014488e-04 -3.520016939903797e+01 +1.226604296696307e+03 +2.910277209076618e-01 
+9.248000000000083e+00 +1.151134887909801e+00 +8.424610637884071e-04 -3.510357993496841e+01 +1.226470372407550e+03 +2.909964020987851e-01 
+9.250000000000083e+00 +1.156847446785776e+00 +8.472022288976976e-04 -3.500699057388535e+01 +1.226336491558056e+03 +2.909650934479091e-01 
+9.252000000000084e+00 +1.162609078168985e+00 +8.519843945232527e-04 -3.491040131577159e+01 +1.226202654124350e+03 +2.909337949495437e-01 
+9.254000000000085e+00 +1.168420395836624e+00 +8.568080742064560e-04 -3.481381216060997e+01 +1.226068860082971e+03 +2.909025065982033e-01 
+9.256000000000085e+00 +1.174282024667225e+00 +8.616737907598173e-04 -3.471722310838332e+01 +1.225935109410479e+03 +2.908712283884063e-01 
+9.258000000000086e+00 +1.180194600917291e+00 +8.665820764975440e-04 -3.462063415907446e+01 +1.225801402083447e+03 +2.908399603146752e-01 
+9.260000000000087e+00 +1.186158772506720e+00 +8.715334734734058e-04 -3.452404531266625e+01 +1.225667738078472e+03 +2.908087023715366e-01 
+9.262000000000087e+00 +1.192175199313068e+00 +8.765285337259792e-04 -3.442745656914154e+01 +1.225534117372164e+03 +2.907774545535213e-01 
+9.264000000000088e+00 +1.198244553475101e+00 +8.815678195316257e-04 -3.433086792848319e+01 +1.225400539941154e+03 +2.907462168551643e-01 
+9.266000000000089e+00 +1.204367519705880e+00 +8.866519036653990e-04 -3.423427939067409e+01 +1.225267005762086e+03 +2.907149892710047e-01 
+9.268000000000089e+00 +1.210544795615921e+00 +8.917813696703607e-04 -3.413769095569708e+01 +1.225133514811626e+03 +2.906837717955856e-01 
+9.270000000000090e+00 +1.216777092046448e+00 +8.969568121352836e-04 -3.404110262353507e+01 +1.225000067066457e+03 +2.906525644234543e-01 
+9.272000000000091e+00 +1.223065133413596e+00 +9.021788369814865e-04 -3.394451439417093e+01 +1.224866662503277e+03 +2.906213671491624e-01 
+9.274000000000092e+00 +1.229409658063351e+00 +9.074480617586187e-04 -3.384792626758757e+01 +1.224733301098804e+03 +2.905901799672653e-01 
+9.276000000000092e+00 +1.235811418638192e+00 +9.127651159501732e-04 -3.375133824376791e+01 +1.224599982829774e+03 +2.905590028723226e-01 
+9.278000000000093e+00 +1.242271182455577e+00 +9.181306412888765e-04 -3.365475032269485e+01 +1.224466707672938e+03 +2.905278358588981e-01 
+9.280000000000094e+00 +1.248789731898606e+00 +9.235452920822305e-04 -3.355816250435129e+01 +1.224333475605066e+03 +2.904966789215597e-01 
+9.282000000000094e+00 +1.255367864819629e+00 +9.290097355488170e-04 -3.346157478872019e+01 +1.224200286602946e+03 +2.904655320548793e-01 
+9.284000000000095e+00 +1.262006394957013e+00 +9.345246521655824e-04 -3.336498717578448e+01 +1.224067140643383e+03 +2.904343952534331e-01 
+9.286000000000096e+00 +1.268706152365640e+00 +9.400907360265510e-04 -3.326839966552709e+01 +1.223934037703200e+03 +2.904032685118009e-01 
+9.288000000000096e+00 +1.275467983861671e+00 +9.457086952134267e-04 -3.317181225793097e+01 +1.223800977759235e+03 +2.903721518245673e-01 
+9.290000000000097e+00 +1.282292753482071e+00 +9.513792521784937e-04 -3.307522495297910e+01 +1.223667960788348e+03 +2.903410451863204e-01 
+9.292000000000098e+00 +1.289181342959424e+00 +9.571031441402507e-04 -3.297863775065442e+01 +1.223534986767412e+03 +2.903099485916525e-01 
+9.294000000000098e+00 +1.296134652212699e+00 +9.628811234923432e-04 -3.288205065093992e+01 +1.223402055673320e+03 +2.902788620351602e-01 
+9.296000000000099e+00 +1.303153599854485e+00 +9.687139582262054e-04 -3.278546365381857e+01 +1.223269167482982e+03 +2.902477855114440e-01 
+9.298000000000100e+00 +1.310239123715338e+00 +9.746024323679720e-04 -3.268887675927336e+01 +1.223136322173324e+03 +2.902167190151084e-01 
+9.300000000000100e+00 +1.317392181385804e+00 +9.805473464301164e-04 -3.259228996728728e+01 +1.223003519721291e+03 +2.901856625407621e-01 
+9.302000000000101e+00 +1.324613750777042e+00 +9.865495178785749e-04 -3.249570327784335e+01 +1.222870760103845e+03 +2.901546160830178e-01 
+9.304000000000102e+00 +1.331904830700383e+00 +9.926097816156730e-04 -3.239911669092455e+01 +1.222738043297964e+03 +2.901235796364923e-01 
+9.306000000000102e+00 +1.339266441466839e+00 +9.987289904796551e-04 -3.230253020651392e+01 +1.222605369280646e+03 +2.900925531958063e-01 
+9.308000000000103e+00 +1.346699625507233e+00 +1.004908015761410e-03 -3.220594382459448e+01 +1.222472738028904e+03 +2.900615367555848e-01 
+9.310000000000104e+00 +1.354205448013617e+00 +1.011147747738942e-03 -3.210935754514926e+01 +1.222340149519769e+03 +2.900305303104565e-01 
+9.312000000000104e+00 +1.361784997602969e+00 +1.017449096230397e-03 -3.201277136816130e+01 +1.222207603730289e+03 +2.899995338550544e-01 
+9.314000000000105e+00 +1.369439387003975e+00 +1.023812991166339e-03 -3.191618529361364e+01 +1.222075100637530e+03 +2.899685473840156e-01 
+9.316000000000106e+00 +1.377169753767648e+00 +1.030240383181893e-03 -3.181959932148935e+01 +1.221942640218574e+03 +2.899375708919810e-01 
+9.318000000000106e+00 +1.384977261002923e+00 +1.036732244229702e-03 -3.172301345177147e+01 +1.221810222450521e+03 +2.899066043735956e-01 
+9.320000000000107e+00 +1.392863098137996e+00 +1.043289568214351e-03 -3.162642768444308e+01 +1.221677847310490e+03 +2.898756478235084e-01 
+9.322000000000108e+00 +1.400828481708482e+00 +1.049913371649142e-03 -3.152984201948725e+01 +1.221545514775613e+03 +2.898447012363726e-01 
+9.324000000000108e+00 +1.408874656173518e+00 +1.056604694336163e-03 -3.143325645688707e+01 +1.221413224823043e+03 +2.898137646068451e-01 
+9.326000000000109e+00 +1.417002894760684e+00 +1.063364600070394e-03 -3.133667099662562e+01 +1.221280977429948e+03 +2.897828379295871e-01 
+9.328000000000110e+00 +1.425214500341129e+00 +1.070194177368978e-03 -3.124008563868601e+01 +1.221148772573514e+03 +2.897519211992637e-01 
+9.330000000000110e+00 +1.433510806335734e+00 +1.077094540226384e-03 -3.114350038305134e+01 +1.221016610230944e+03 +2.897210144105440e-01 
+9.332000000000111e+00 +1.441893177653999e+00 +1.084066828896848e-03 -3.104691522970473e+01 +1.220884490379457e+03 +2.896901175581010e-01 
+9.334000000000112e+00 +1.450363011666426e+00 +1.091112210704745e-03 -3.095033017862928e+01 +1.220752412996292e+03 +2.896592306366119e-01 
+9.336000000000112e+00 +1.458921739212067e+00 +1.098231880884292e-03 -3.085374522980813e+01 +1.220620378058702e+03 +2.896283536407577e-01 
+9.338000000000113e+00 +1.467570825642526e+00 +1.105427063449637e-03 -3.075716038322442e+01 +1.220488385543959e+03 +2.895974865652235e-01 
+9.340000000000114e+00 +1.476311771903712e+00 +1.112699012096442e-03 -3.066057563886127e+01 +1.220356435429350e+03 +2.895666294046984e-01 
+9.342000000000114e+00 +1.485146115657098e+00 +1.120049011136411e-03 -3.056399099670185e+01 +1.220224527692181e+03 +2.895357821538753e-01 
+9.344000000000115e+00 +1.494075432441799e+00 +1.127478376465863e-03 -3.046740645672931e+01 +1.220092662309775e+03 +2.895049448074514e-01 
+9.346000000000116e+00 +1.503101336879163e+00 +1.134988456569767e-03 -3.037082201892681e+01 +1.219960839259470e+03 +2.894741173601275e-01 
+9.348000000000116e+00 +1.512225483921764e+00 +1.142580633562804e-03 -3.027423768327752e+01 +1.219829058518622e+03 +2.894432998066087e-01 
+9.350000000000117e+00 +1.521449570148120e+00 +1.150256324268597e-03 -3.017765344976462e+01 +1.219697320064606e+03 +2.894124921416037e-01 
+9.352000000000118e+00 +1.530775335105450e+00 +1.158016981338987e-03 -3.008106931837130e+01 +1.219565623874811e+03 +2.893816943598255e-01 
+9.354000000000118e+00 +1.540204562702066e+00 +1.165864094414734e-03 -2.998448528908074e+01 +1.219433969926644e+03 +2.893509064559910e-01 
+9.356000000000119e+00 +1.549739082651397e+00 +1.173799191329300e-03 -2.988790136187615e+01 +1.219302358197529e+03 +2.893201284248210e-01 
+9.358000000000120e+00 +1.559380771970018e+00 +1.181823839357684e-03 -2.979131753674074e+01 +1.219170788664908e+03 +2.892893602610400e-01 
+9.360000000000120e+00 +1.569131556531386e+00 +1.189939646511739e-03 -2.969473381365771e+01 +1.219039261306237e+03 +2.892586019593770e-01 
+9.362000000000121e+00 +1.578993412677865e+00 +1.198148262884142e-03 -2.959815019261029e+01 +1.218907776098991e+03 +2.892278535145642e-01 
+9.364000000000122e+00 +1.588968368893339e+00 +1.206451382042905e-03 -2.950156667358171e+01 +1.218776333020661e+03 +2.891971149213385e-01 
+9.366000000000122e+00 +1.599058507538672e+00 +1.214850742478362e-03 -2.940498325655519e+01 +1.218644932048757e+03 +2.891663861744404e-01 
+9.368000000000123e+00 +1.609265966652772e+00 +1.223348129104890e-03 -2.930839994151400e+01 +1.218513573160802e+03 +2.891356672686142e-01 
+9.370000000000124e+00 +1.619592941821802e+00 +1.231945374819519e-03 -2.921181672844137e+01 +1.218382256334340e+03 +2.891049581986082e-01 
